inputs,targets
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): пожежниця",пожежник
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Раніше Буга була керівницею ТОВ «Енерджі трейд груп» – найбільшого постачальника держпідприємств, керівницею яких виступає Руслана Журила, нинішня очільниця ДП «Об'єднана гірничо-хімічна компанія» (ОГХК).","Раніше Буга був керівником ТОВ «Енерджі трейд груп» – найбільшого постачальника держпідприємств, керівником яких виступає Руслан Журило, нинішній очільник ДП «Об'єднана гірничо-хімічна компанія» (ОГХК)."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): мізантропка",мізантроп
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): боржниця",боржник
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Марина Сидіч зареєструвалась як підприємець у листопаді 2014 року.",Дмитро Сидіч зареєструвався як підприємниця у листопаді 2014 року.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): експерт",експертка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): естетка",естет
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Директором фірми є Роман Унрау.",Директоркою фірми є Марія Унрау.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У жовтні 2018 року антимонопольниці звернулись до суду.",У жовтні 2018 року антимонопольники звернулись до суду.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Омелько , магістратський писар , бував тут частенько .","Ганна , магістратська писарка , бувала тут частенько ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): доброчинець",доброчиниця
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Нагадаємо, минулого року заступниця голови наглядової ради групи компаній СЄПЕК Марина Тімонькіна повідомила про придбання близько 40% акцій банку у братів Буряків.","Нагадаємо, минулого року заступник голови наглядової ради групи компаній СЄПЕК Борис Тімонькін повідомив про придбання близько 40% акцій банку у братів Буряків."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Нагадаємо, що DOGUS Insaat ve Ticaret була генеральною підрядницею залізнично-автомобільного мосту через Дніпро (міст Кирпи).","Нагадаємо, що DOGUS Insaat ve Ticaret був генеральним підрядником залізнично-автомобільного мосту через Дніпро (міст Кирпи)."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): визволителька",визволитель
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Підприємства з орбіти депутата Сергія Біловола систематично отримують підряди в Мелітополі.",Підприємства з орбіти депутатки Світлани Біловол систематично отримують підряди в Мелітополі.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): коректорка",коректор
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Під час її балотування на посаду судді Верховного суду Громадська рада доброчесності надала кваліфікаційній комісії негативний висновок щодо її кандидатури.",Під час його балотування на посаду судді Верховного суду Громадська рада доброчесності надала кваліфікаційній комісії негативний висновок щодо його кандидатури.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): лісничий",ліснича
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Також Овчаренко працював начальником управління (квартирно-експлуатаційного) Західного оперативного командування, головою Шевченківської райадміністрації Львівської міськради та директором ДП Міноборони України «Західвійськбуд».","Також Овчаренко працювала начальницею управління (квартирно-експлуатаційного) Західного оперативного командування, головою Шевченківської райадміністрації Львівської міськради та директоркою ДП Міноборони України «Західвійськбуд»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Нагадаємо, Людмила Журавко була народною депутаткою V - VI скликання у 2006-2012 рр. від Партії регіонів.","Нагадаємо, Олексій Журавко був народним депутатом V - VI скликання у 2006-2012 рр. від Партії регіонів."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): мільйонер",мільйонерка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Останній з грудня 2013 по квітень 2015 рр був заступником голови Держагентства резерву України.",Остання з грудня 2013 по квітень 2015 рр була заступницею голови Держагентства резерву України.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): перекупник",перекупниця
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): метеоролог",метеорологиня
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Галина Симха – дружина судді Вищого адміністративного суду Миколи Заїки.",Олександр Симха – чоловік судді Вищого адміністративного суду Галини Заїки.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Російська влада сподівається , що терпець українців урветься , і в Україні почнуться якісь внутрішні бунти » , - вважає радник Президента .","Російська влада сподівається , що терпець українців урветься , і в Україні почнуться якісь внутрішні бунти » , - вважає радниця Президента ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): контрабандистка",контрабандист
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): паталогоанатомка",патологоанатом
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Обох прокуророк було затримано.",Обох прокурорів було затримано.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Черговий лікар ще вночі ґрунтовно поінформував про перспективи одужання .",Чергова лікарка ще вночі ґрунтовно поінформувала про перспективи одужання .
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Золотарьова нині є власницею ТОВ «Царіцино», єдиним засновником якого раніше був Цимідан і який при реєстрації фірми вказав саме адресу цього будинку в Діброві.","Золотарьов нині є власником ТОВ «Царіцино», єдиною засновницею якого раніше була Світлана і яка при реєстрації фірми вказала саме адресу цього будинку в Діброві."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): статистка",статист
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): тюремниця",тюремник
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2005 році голова Дніпропетровської ОДА ухвалила розпорядження про відведення ТОВ «Демурінський гірничо-збагачувальний комбінат» ділянок для розміщення кар'єру з видобутку титано-цирконієвої руди (ільменітових пісків) Вовчанського родовища.",У 2005 році голова Дніпропетровської ОДА ухвалив розпорядження про відведення ТОВ «Демурінський гірничо-збагачувальний комбінат» ділянок для розміщення кар'єру з видобутку титано-цирконієвої руди (ільменітових пісків) Вовчанського родовища.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): 29 травня підполковник поліції був затриманий правоохоронцями після отримання $600 хабара.",29 травня підполковниця поліції була затримана правоохоронцями після отримання $600 хабара.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Як з'ясували журналістки, у жовтні 2014 року «Біртіліна Консалтінг ЛТД» позичила ТОВ «Великі ключі» $1 млн.","Як з'ясували журналісти, у жовтні 2014 року «Біртіліна Консалтінг ЛТД» позичила ТОВ «Великі ключі» $1 млн."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Угіддя, на які претендує організація, зараз належать саме Млинівського держлісгоспу, працівники якого увійшли в число засновників «МГ «Лісовик- Гранд».","Угіддя, на які претендує організація, зараз належать саме Млинівського держлісгоспу, працівниці якого увійшли в число засновниць «МГ «Лісовик- Гранд»."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): антисеміт",антисемітка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): маргіналка",маргінал
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Виписав для неї зі столиці купу гувернанток і вчителів .",Виписала для неї зі столиці купу гувернанток і вчительок .
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): баяніст",баяністка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновниками «Квадро-Фінанс» є Володимир Лук'янов, Євгенія Руденко та Ірина Окуневська.","Засновниками «Квадро-Фінанс» є Марина Лук'янова, Андрій Руденко та Віктор Окуневський."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У середині квітня парламент скасував норму про обов'язкову сертифікацію зерна, на якій заробляли нечисті на руку чиновниці.","У середині квітня парламент скасував норму про обов'язкову сертифікацію зерна, на якій заробляли нечисті на руку чиновники."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): промоутер",промоутерка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Єдиним конкурентом на тендері було Управління поліції охорони в Київській області.",Єдиною конкуренткою на тендері було Управління поліції охорони в Київській області.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Загалом сім'я судді Голяшкіної володіє щонайменше п'ятьма квартирами: одна в Донецьку, дві – в Дніпропетровській області.","Загалом сім'я судді Голяшкіна володіє щонайменше п'ятьма квартирами: одна в Донецьку, дві – в Дніпропетровській області."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Не треба лякатися далекості авторок , яких немає з нами .","Не треба лякатися далекості авторів , яких немає з нами ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): дослідниця",дослідник
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Також Сміяненко був директором ТОВ «Торговий дім «Будівельні системи».",Також Сміяненко була директоркою ТОВ «Торговий дім «Будівельні системи».
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): мазохістка",мазохіст
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): В суді слідчий клопотав накласти арешт на вилучені документи і суд це клопотання задовольнив.",В суді слідча клопотала накласти арешт на вилучені документи і суд це клопотання задовольнив.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): «Житлоінвестбуд» від його створення й по сьогодні незмінно очолює В'ячеслав Непоп, чинний депутат Київради, позапартійний.","«Житлоінвестбуд» від його створення й по сьогодні незмінно очолює Оксана Непоп, чинна депутатка Київради, позапартійна."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): самолюбка",самолюб
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Детективка повідомила, що це необхідно для встановлення обставин у кримінальному провадженні, зокрема щодо руху державних коштів отриманих «Квадро-Фінанс».","Детектив повідомив, що це необхідно для встановлення обставин у кримінальному провадженні, зокрема щодо руху державних коштів отриманих «Квадро-Фінанс»."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): зберігачка",зберігач
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): бандурист",бандуристка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): борець",борчиня
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): З цих грошей 282 грн. отримає фірма-посередниця з оточення мера Староконстянтинова Марії Мельничук.",З цих грошей 282 грн. отримає фірма-посередник з оточення мера Староконстянтинова Миколи Мельничука.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Інженери озвучують різні ідеї : від того , щоб закопати їх на дні океану , до того , аби послати їх ракетою в космос .","Інженерки озвучують різні ідеї : від того , щоб закопати їх на дні океану , до того , аби послати їх ракетою в космос .
"
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): гуманістка",гуманіст
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): ТОВ «Премʼєр Лізинг» в 2011 р було зареєстроване на жителя села Білокуракине Луганської області Анатолія Пономаренка, а потім на киянина Андрія Чернікова, який значиться засновником понині.","ТОВ «Премʼєр Лізинг» в 2011 р було зареєстроване на жительку села Білокуракине Луганської області Ольгу Пономаренко, а потім на киянку Наталію Чернікову, яка значиться засновницею понині."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Світлана з’явилася на світ унаслідок швидкоплинного роману із сестрою іншого « беркутівця » , лейтенанта на прізвисько Турок .","Антон з’явився на світ унаслідок швидкоплинного роману із сестрою іншого « беркутівця » , лейтенанта на прізвисько Турок ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): референт",референтка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Коли натовп розбігся , Олена побачила , що на пероні лежить жінка у темно-червоному жупані , щось підштовхнуло її ближче , і Олена упізнала отаманку Шуліку .
","Коли натовп розбігся , Мирон побачив , що на пероні лежить чоловік у темно-червоному жупані , щось підштовхнуло його ближче , і Мирон упізнав отамана Шуліку ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): В часи , коли талановитий драматург досягнув піку слави й популярності , при королівському дворі в Англії користувалася увагою кокетлива й вишукана Емілія Бассано Ланьєр .","В часи , коли талановита драматургиня досягла піку слави й популярності , при королівському дворі в Англії користувався увагою кокетливий й вишуканий Григорій Бассано Ланьєр ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновником ТОВ «Укррослізинг» є кіпрська компанія «Укррослізинг сайпрус лімітед», а директором Світлана Жукова, раніше відома як керівник фірми «ВТБ-лізинг», що входить в групу російського «Внешторгбанка».","Засновником ТОВ «Укррослізинг» є кіпрська компанія «Укррослізинг сайпрус лімітед», а директором Василь Жуков, раніше відомий як керівник фірми «ВТБ-лізинг», що входить в групу російського «Внешторгбанка»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Тож судді віддали перевагу Тетяні .",Тож судді віддали перевагу Івану .
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Це письменниці , мовознавиці , учительки , працівниці радіо й телебачення та інші .","Це письменники , мовознавці , учителі , працівники радіо й телебачення та інші ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): пейзажистка",пейзажист
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): рятувальниця",рятувальник
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): красуня",красень
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): фігурант",фігурантка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Тяганина між забудовницею і депутатками загрожує призвести до затримки будівництва, а в найгіршому випадку – до зупинки всіх робіт.","Тяганина між забудовником і депутатами загрожує призвести до затримки будівництва, а в найгіршому випадку – до зупинки всіх робіт."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): В цьому немає нічого дивного , якщо згадати , що політику домінування німців у Руському королівстві ініціював польський король Казимир III . За Зиморовичем , поляки певний час навіть зазнавали утисків від німців : « У ті часи німці посідали у Львові чільне місце , розподіляючи всі міські посади лише між своїми родичами , виключивши з ради поляків ; але постійним було перемішування тих двох народів між собою , як також і поєднання через спільні громадські обов'язки , так що і полякам відкрилася дорога і підхід до міської ради .","В цьому немає нічого дивного , якщо згадати , що політику домінування німців у Руському королівстві ініціювала польська королева Галина III . За Зиморовичем , поляки певний час навіть зазнавали утисків від німців : « У ті часи німці посідали у Львові чільне місце , розподіляючи всі міські посади лише між своїми родичами , виключивши з ради поляків ; але постійним було перемішування тих двох народів між собою , як також і поєднання через спільні громадські обов'язки , так що і полякам відкрилася дорога і підхід до міської ради .
"
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): При цьому, згадані Іван Гріпак є директором РВПРГ, Михайло Ренкас – головним бухгалтером РВПРГ, а Василь Олійник – завідувачем виробництва РВПРГ ; * фактична адреса місцезнаходження Козименко співпадає з місцезнаходженням «Ресторану Жашків» ; * свої конкурсні пропозиції учасники завантажували з однієї IP-адреси, використовували спільні засоби зв'язку ; * Козименко перераховувала РВПРГ кошти у вигляді безповоротної фінансової допомоги тощо.","При цьому, згадані Таїсія Гріпак є директором РВПРГ, Тамара Ренкас – головним бухгалтером РВПРГ, а Ніна Олійник – завідувачем виробництва РВПРГ ; * фактична адреса місцезнаходження Козименко співпадає з місцезнаходженням «Ресторану Жашків» ; * свої конкурсні пропозиції учасники завантажували з однієї IP-адреси, використовували спільні засоби зв'язку ; * Козименко перераховувала РВПРГ кошти у вигляді безповоротної фінансової допомоги тощо."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Ні , не так - авторка статті , позаштатна кореспондентка « Ровесника » , худий патлатий хлопець в окулярах із грубими скельцями , просто побачив у неї на столі кілька мухоморів , нічого не запитав , потім дав волю фантазії .","Ні , не так - автор статті , позаштатний кореспондент « Ровесника » , худий патлатий хлопчина в окулярах із грубими скельцями , просто побачив у неї на столі кілька мухоморів , нічого не запитав , потім дав волю фантазії ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Випивши , майстер багато розповідав про життя , Маріо слухав неуважно , а почутому не надто вірив , бо коли вірити Яші , виходило так , що в світі не лишилося жінок , з якими він не спав , і чоловіків , з якими він не пив .","Випивши , майстриня багато розповідала про життя , Олена слухала неуважно , а почутому не надто вірила , бо коли вірити Яші , виходило так , що в світі не лишилося чоловіків , з якими вона не спала , і жінок , з якими вона не пила .
"
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Свого часу «Енерджі Трейд Груп» тримала рахунки виключно у «Діамантбанку» народної депутатки Марії Жванії.",Свого часу «Енерджі Трейд Груп» тримала рахунки виключно у «Діамантбанку» народного депутата Давида Жванії.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): бібліотекарка",бібліотекар
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Американські психологи ( Д . Кембелл і Д . Фіське ) за допомогою факторного аналізу виявили міжіндивідуальну стійкість незалежних показників графомоторики ( розмір , натиск , незграбність , протяжність ) при виконанні різних завдань ( копіювання , писання , малювання ) .","Американські психологині ( Д . Кембелл і Д . Фіське ) за допомогою факторного аналізу виявили міжіндивідуальну стійкість незалежних показників графомоторики ( розмір , натиск , незграбність , протяжність ) при виконанні різних завдань ( копіювання , писання , малювання ) ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Цього разу єдиним конкурентом «Луцьксантехмонтажу» було ТОВ «Маневичіагробуд», яку заснували Валерій та Людмила Політило, а також депутат Мановецької райради Андрій Сопронюк («Батьківщина»).","Цього разу єдиним конкурентом «Луцьксантехмонтажу» було ТОВ «Маневичіагробуд», яку заснували Валерія та Наталя Політило, а також депутатка Мановецької райради Марія Сопронюк («Батьківщина»)."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): ксенофобка",ксенофоб
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Розгублені українські журналісти й громадські діячі поверталися до Києва одним рейсом , звісно , говорячи лише про те , що буде після того , як « Беркут » розігнав студентів .","Розгублені українські журналістки й громадські діячі поверталися до Києва одним рейсом , звісно , говорячи лише про те , що буде після того , як « Беркут » розігнав студентів ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): депутат",депутатка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Попри обіцянки ДСНС прибрати пультові організації із нормативної бази – компанії-посередники були прописані в нових правилах пожежного спостерігання, які були затверджені наказом міністра МВС Арсена Авакова у березні 2015 року.","Попри обіцянки ДСНС прибрати пультові організації із нормативної бази – компанії-посередники були прописані в нових правилах пожежного спостерігання, які були затверджені наказом міністерки МВС Ірини Авакової у березні 2015 року."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): невігласка",невіглас
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Виконання розробки забезпечить органи місцевого самоврядування у сільській місцевості економічно обґрунтованими проектними рішеннями будівель робочих пунктів дільничної міліціонерки та сільської лікарки з службовими житловими приміщеннями, що сприятиме вирішенню проблеми забезпечення житлом працівниць охорони здоровʼя та правоохоронних органів», – йдеться в конкурсній документації.","Виконання розробки забезпечить органи місцевого самоврядування у сільській місцевості економічно обґрунтованими проектними рішеннями будівель робочих пунктів дільничного міліціонера та сільського лікаря з службовими житловими приміщеннями, що сприятиме вирішенню проблеми забезпечення житлом працівників охорони здоровʼя та правоохоронних органів», – йдеться в конкурсній документації."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Деякі селекціонерки розводять миколаївських голубів , а звичайних поштових беруть за названих батьків , бо вони добре вигодовують чужих пташенят .","Деякі селекціонери розводять миколаївських голубів , а звичайних поштових беруть за названих батьків , бо вони добре вигодовують чужих пташенят ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): бюрократ",бюрократка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): фермерка",фермер
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Крім зазначеного, протоколом наради з питань оптимізації цін і тарифів на природний газ, електричну енергію та вугілля на 2011 рік під головуванням Першої віце – премʼєр – міністерки України Клюєвої А. П.","Крім зазначеного, протоколом наради з питань оптимізації цін і тарифів на природний газ, електричну енергію та вугілля на 2011 рік під головуванням Першого віце – премʼєр – міністра України Клюєва А. П."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Щоб її мінімізувати , постійно працюють військові і дипломати , але до неї треба бути готовими і фізично , і морально » , - зазначає Медведєв .","Щоб її мінімізувати , постійно працюють військові і дипломатки , але до неї треба бути готовими і фізично , і морально » , - зазначає Олександра .
"
