Оригінальне речення,Змінене речення,Анотації,Коректність речення,Виправлене речення,Помічник/ця
Раніше засновником «Укррослізингу» була кіпрська компанія «Імпофірм Консалтінг Лімітед».,Раніше засновницею «Укррослізингу» була кіпрська компанія «Імпофірм Консалтінг Лімітед».,{'засновником': 'JOB'},Важко визначити,,Олеся Д.
"Вона також виступала засновником ТОВ «Албента», пов'язаного з групою народного депутата від Партії регіонів Юрія Іванющенко.","Він також виступав засновницею ТОВ «Албента», пов'язаного з групою народної депутатки від Партії регіонів Віри Іванющенко.","{'засновником': 'JOB', 'народного депутата': 'JOB', 'Юрія Іванющенко': 'PERS'}",Містить помилки,"Вона також виступала засновницею ТОВ «Албента», пов'язаної з групою народної депутатки від Партії регіонів Віри Іванющенко.",
"Єдиним конкурентом «Укррослізингу» на тендері Львівської залізниці було ТОВ «Прем'єр лізинг», директором якого зараз є Андрій Черніков.","Єдиною конкуренткою «Укррослізингу» на тендері Львівської залізниці було ТОВ «Прем'єр лізинг», директоркою якого зараз є Марія Чернікова.","{'директором': 'JOB', 'Андрій Черніков': 'PERS', 'Черніков': 'PERS'}",Містить помилки,"Єдиним конкурентом «Укррослізингу» на тендері Львівської залізниці було ТОВ «Прем'єр лізинг», директоркою якого зараз є Марія Чернікова.",
"Цей же Черніков був директором «Укррослізингу» в 2009 році, коли компанія виграла тендер Київського метрополітену на постачання сотні вагонів вартістю 1,39 млрд грн.","Ця ж Чернікова була директоркою «Укррослізингу» в 2009 році, коли компанія виграла тендер Київського метрополітену на постачання сотні вагонів вартістю 1,39 млрд грн.","{'директором': 'JOB', 'Черніков': 'PERS'}",Правильне,,
"Черніков також відомий як директор ТОВ «Фортуна-лізинг», яке рік тому отримало підряд Сімферопольського аеропорту на лізингові послуги вартістю 297,54 млн грн.","Чернікова також відома як директорка ТОВ «Фортуна-лізинг», яке рік тому отримало підряд Сімферопольського аеропорту на лізингові послуги вартістю 297,54 млн грн.","{'Черніков': 'PERS', 'директор': 'JOB'}",Правильне,,
Херсонський міський суд Херсонської області визнав винною колишню заступницю голови Херсонського відділення АМКУ Наталю Бережанську у несвоєчасному поданні річної декларації «після звільнення».,Херсонський міський суд Херсонської області визнав винним колишнього заступника голови Херсонського відділення АМКУ Романа Бережанського у несвоєчасному поданні річної декларації «після звільнення».,"{'заступницю голови': 'JOB', 'Наталю Бережанську': 'PERS', 'Бережанську': 'PERS'}",Правильне,,
"Правопорушення стосується періоду, упродовж якого Бережанська займала посаду заступника голови Херсонського ОТВ АМКУ-начальника відділу досліджень і розслідувань.","Правопорушення стосується періоду, упродовж якого Бережанський займав посаду заступниці голови Херсонського ОТВ АМКУ-начальниці відділу досліджень і розслідувань.","{'Бережанська': 'PERS', 'заступника голови': 'JOB', 'начальника відділу досліджень і розслідувань': 'JOB'}",Важко визначити,,
"Суд не підтримав аргументації екс-чиновниці, вирішивши справу не на її користь.","Суд не підтримав аргументації екс-чиновника, вирішивши справу не на його користь.",{'екс-чиновниці': 'JOB'},Правильне,,
"Нагадаємо, 31 липня 2018 року Прокуратура Херсонської області спільно з місцевим спецпідрозділом Управління СБУ викрили на той момент заступницю голови Херсонського тервідділення Наталю Бережанську на хабарі у розмірі $4 тис за обіцянку суб'єкту господарювання закрити очі на здійснене ним порушення конкурентного законодавства.","Нагадаємо, 31 липня 2018 року Прокуратура Херсонської області спільно з місцевим спецпідрозділом Управління СБУ викрили на той момент заступника голови Херсонського тервідділення Андрія Бережанського на хабарі у розмірі $4 тис за обіцянку суб'єкту господарювання закрити очі на здійснене ним порушення конкурентного законодавства.","{'заступницю голови': 'JOB', 'Наталю Бережанську': 'PERS', 'Бережанську': 'PERS'}",Правильне,,
"Того ж дня чиновниця подала декларацію перед звільненням, у якій не вказала фірму чоловіка ПП «Землемір».","Того ж дня чиновник подав декларацію перед звільненням, у якій не вказав фірму чоловіка ПП «Землемір».",{'чиновниця': 'JOB'},Важко визначити,,
У вересні минулого року екс-антимонопольницю відпустили під заставу у 147 тис. грн.,У вересні минулого року екс-антимонопольника відпустили під заставу у 147 тис. грн.,{'екс-антимонопольницю': 'JOB'},Правильне,,Олеся Д.
"Додамо також, у липні цього року В'ячеслава Василенка, який очолював Херсонське відділення Антимонопольного комітету на час затримання Бережанської, призначили головою Житомирського територіального відділення АМКУ.","Додамо також, у липні цього року Валентини Василенко, яка очолювала Херсонське відділення Антимонопольного комітету на час затримання Бережанської, призначили головою Житомирського територіального відділення АМКУ.","{""В'ячеслава Василенка"": 'PERS', 'Бережанської': 'PERS', 'головою': 'JOB'}",Містить помилки,"Додамо також, у липні цього року Валентину Василенко, яка очолювала Херсонське відділення Антимонопольного комітету на час затримання Бережанського, призначили головою Житомирського територіального відділення АМКУ.",
Депутати клопотання задовольнили.,Депутатки клопотання задовольнили.,{'Депутати': 'JOB'},Правильне,,
Останнього місцеві ЗМІ називають давнім бізнес-приятелем Луцького міського голови Миколи Романюка.,Останню місцеві ЗМІ називають давньою бізнес-приятелькою Луцької міської голови Оксани Романюк.,"{'Луцького міського голови': 'JOB', 'Миколи Романюка': 'PERS'}",Містить помилки,Останнього місцеві ЗМІ називають давнім бізнес-приятелем Луцької міської голови Оксани Романюк.,
Протягом 2004-2013 рр. засновниками ТОВ «Біо-Оріяна» були ТОВ «Комерційно-виробнича фірма «Сінтек» і киянка Лариса Петренко.,Протягом 2004-2013 рр. засновницями ТОВ «Біо-Оріяна» були ТОВ «Комерційно-виробнича фірма «Сінтек» і киянин Олександр Петренко.,"{'засновниками': 'JOB', 'Лариса Петренко': 'PERS'}",Важко визначити,,
"Остання вийшла зі складу засновників, де залишилася лише фірма «Сінтек», засновниками якої є Олександр Яковлєв і Надія Яковлєва.","Остання вийшла зі складу засновниць, де залишилася лише фірма «Сінтек», засновницями якої є Олександра Яковлєва і Микола Яковлєв.","{'засновниками': 'JOB', 'засновників': 'JOB', 'Олександр Яковлєв': 'PERS', 'Надія Яковлєва': 'PERS'}",Важко визначити,,
Сім'я судді Апеляційного суду м. Києва Дениса Масенка безоплатно користується квартирою в Києві площею 100 кв. м. Про це свідчить електронна декларація судді у реєстрі НАЗК.,Сім'я судді Апеляційного суду м. Києва Марини Масенко безоплатно користується квартирою в Києві площею 100 кв. м. Про це свідчить електронна декларація судді у реєстрі НАЗК.,"{'судді': 'JOB', 'Дениса Масенка': 'PERS'}",Правильне,,
Денис Масенко був переведений на роботу в Київ указом президента у квітні 2015 р. До того Масенко працював суддею Апеляційного суду Луганської області.,Надія Масенко була переведена на роботу в Київ указом президентки у квітні 2015 р. До того Масенко працювала суддею Апеляційного суду Луганської області.,"{'Денис Масенко': 'PERS', 'президента': 'JOB', 'Масенко': 'PERS', 'суддею': 'JOB'}",Правильне,,
Офіційно сім'я судді не має власної нерухомості у столиці.,Офіційно сім'я судді не має власної нерухомості у столиці.,{'судді': 'JOB'},Правильне,,
"Суддя Денис Масенко задекларував у 2015 році 243 тис грн. заробітної плати, його дружина Марія Масенко – 26 тис грн. зарплати у ТОВ «СДМ Фарма» і 20 тис грн. допомоги вимушеним переселенцям.","Суддя Інна Масенко задекларувала у 2015 році 243 тис грн. заробітної плати, його чоловік Олександр Масенко – 26 тис грн. зарплати у ТОВ «СДМ Фарма» і 20 тис грн. допомоги вимушеним переселенцям.","{'Денис Масенко': 'PERS', 'Масенко': 'PERS', 'Суддя': 'JOB', 'Марія Масенко': 'PERS'}",Містить помилки,"Суддя Інна Масенко задекларувала у 2015 році 243 тис грн. заробітної плати, її чоловік Олександр Масенко – 26 тис грн. зарплати у ТОВ «СДМ Фарма» і 20 тис грн. допомоги вимушеним переселенцям.",
Про місце роботи і доходи своєї дочки суддя не повідомив.,Про місце роботи і доходи своєї дочки суддя не повідомила.,{'суддя': 'JOB'},Правильне,,Олеся Д.
"У відкритих джерелах Ігор Яцишин згадується як засновник ПП «Євроконтакт» і ЗАТ «І-Тек», що спеціалізувались на оптовій торгівлі електропобутовими приладами.","У відкритих джерелах Ніна Яцишина згадується як засновниця ПП «Євроконтакт» і ЗАТ «І-Тек», що спеціалізувались на оптовій торгівлі електропобутовими приладами.","{'Ігор Яцишин': 'PERS', 'засновник': 'JOB', 'Яцишин': 'PERS'}",Правильне,,
У 2008 р. Яцишин вийшов зі складу засновників обох компаній.,У 2008 р. Яцишина вийшла зі складу засновниць обох компаній.,"{'Яцишин': 'PERS', 'засновників': 'JOB'}",Правильне,,
Раніше цим будинком володіла Ганна Яцишина і у 2012 році його арештовували держвиконавці.,Раніше цим будинком володів Ярослав Яцишин і у 2012 році його арештовували держвиконавці.,"{'Ганна Яцишина': 'PERS', 'держвиконавці': 'JOB'}",Містить помилки,Раніше цим будинком володів Ярослав Яцишин і у 2012 році його арештовували держвиконавиці.,
Залізничники вимагали визнання недійсним рішення АМКУ у спрві №136-26.386-12 від 03.06.2014 №321-p.,Залізничниці вимагали визнання недійсним рішення АМКУ у спрві №136-26.386-12 від 03.06.2014 №321-p.,{'Залізничники': 'JOB'},Правильне,,
Підставою для укладання договору стала службова записка начальника юридичного управління Укрзалізниці О. М. Тітова на ім'я гендиректора Б. Я. Остап'юка.,Підставою для укладання договору стала службова записка начальниці юридичного управління Укрзалізниці О. М. Тітової на ім'я гендиректорки Василя Я. Остап'юка.,"{'начальника юридичного управління': 'JOB', 'О. М. Тітова': 'PERS', 'гендиректора': 'JOB', ""Б. Я. Остап'юка"": 'PERS'}",Містить помилки,Підставою для укладання договору стала службова записка начальниці юридичного управління Укрзалізниці О. М. Тітової на ім'я гендиректорки В. Я. Остап'юк.,
"Представники ДФІ зазначили, що до компетенції начальника управління не відноситься функція надання пропозицій щодо укладення угод про надання юридичної допомоги сторонніми організаціями.","Представниці ДФІ зазначили, що до компетенції начальниці управління не відноситься функція надання пропозицій щодо укладення угод про надання юридичної допомоги сторонніми організаціями.",{'начальника управління': 'JOB'},Містить помилки,"Представники ДФІ зазначили, що до компетенції начальниці управління не відноситься функція надання пропозицій щодо укладення угод про надання юридичної допомоги сторонніми організаціями.",
"Ігор Пукшин у 2004 році був одним із адвокатів, які обґрунтовували необхідність третього туру президентських виборів.","Ірина Пукшина у 2004 році була однією з адвокаток, які обґрунтовували необхідність третього туру президентських виборів.","{'Ігор Пукшин': 'PERS', 'адвокатів': 'JOB', 'Пукшин': 'PERS'}",Правильне,,
Пукшин працював заступником голови Секретаріату президента Ющенка.,Пукшина працювала заступницею голови Секретаріату президента Ющенка.,"{'Пукшин': 'PERS', 'заступником голови': 'JOB'}",Правильне,,
"Створенням миючого антибактеріального препарату «Біопагдез КС» для потреб «Укрзалізниці» займалась приватна фірма, вартість послуг якої залізничники не розкрили.","Створенням миючого антибактеріального препарату «Біопагдез КС» для потреб «Укрзалізниці» займалась приватна фірма, вартість послуг якої залізничниці не розкрили.",{'залізничники': 'JOB'},Правильне,,
"Наприкінці 2015 року залізничники вирішили більше не купувати сторонні дезінфікуючі засоби, а створити власний антибактеріальний препарат спеціально для потреб залізниці.","Наприкінці 2015 року залізничниці вирішили більше не купувати сторонні дезінфікуючі засоби, а створити власний антибактеріальний препарат спеціально для потреб залізниці.",{'залізничники': 'JOB'},Правильне,,Олеся Д.
"Показати лабораторію, у якій виготовляється засіб – залізничники також відмовились.","Показати лабораторію, у якій виготовляється засіб – залізничниці також відмовились.",{'залізничники': 'JOB'},Правильне,,
"Разом з тим, саме у цьому «10 Хіммотолігічному центрі» працює лаборанткою Надія Малежик, яка є співзасновницею ТОВ «Інтер кємікал груп».","Разом з тим, саме у цьому «10 Хіммотолігічному центрі» працює лаборантом Сергієм Малежиком, який є співзасновником ТОВ «Інтер кємікал груп».","{'лаборанткою': 'JOB', 'Надія Малежик': 'PERS', 'співзасновницею': 'JOB'}",Містить помилки,"Разом з тим, саме у цьому «10 Хіммотолігічному центрі» працює лаборантом Сергій Малежик, який є співзасновником ТОВ «Інтер кємікал груп».",
"Методичні вказівки до засобу «Біопагдез КС» підготував брат Надії Мележик – Олександр Мележик, він же директор Інституту оцінки відповідності ДП «УкрНДНЦ» Міністерства економічного розвитку і торгівлі України.","Методичні вказівки до засобу «Біопагдез КС» підготувала сестра Олени Мележик – Лариса Мележик, вона ж директорка Інституту оцінки відповідності ДП «УкрНДНЦ» Міністерства економічного розвитку і торгівлі України.","{'Надії Мележик': 'PERS', 'Олександр Мележик': 'PERS', 'директор': 'JOB'}",Містить помилки,"Методичні вказівки до засобу «Біопагдез КС» підготувала сестра Надії Мележик – Лариса Мележик, вона ж директорка Інституту оцінки відповідності ДП «УкрНДНЦ» Міністерства економічного розвитку і торгівлі України.",
ФОП Кузнєцов А. С. і ТОВ «Інтєра» погодили свої тендерні пропозиції під час участі у процедурі відкритих торгів на закупівлю послуг та товарів для обслуговування заходів громадських організацій.,ФОП Кузнєцова А. С. і ТОВ «Інтєра» погодили свої тендерні пропозиції під час участі у процедурі відкритих торгів на закупівлю послуг та товарів для обслуговування заходів громадських організацій.,{'ФОП': 'JOB'},Правильне,,
"ФОП Кузнєцов А. С. та ТОВ «Інтєра» не змагалися між собою, а узгоджували свої дії та, як наслідок, усунули конкуренцію між собою.","ФОП Кузнєцова А. С. та ТОВ «Інтєра» не змагалися між собою, а узгоджували свої дії та, як наслідок, усунули конкуренцію між собою.",{'ФОП': 'JOB'},Правильне,,
"Єдиним конкурентом на торгах виступив ФОП Кузнєцов Антон Сергійович, який вказав спільні з «Інтєрою» контакти і прописаний за однією адресою з Оленою Кузнєцовою.","Єдиною конкуренткою на торгах виступила ФОП Кузнєцова Антоніна Сергіївна, яка вказала спільні з «Інтєрою» контакти і прописана за однією адресою з Борисом Кузнєцовим.","{'ФОП': 'JOB', 'Кузнєцов Антон Сергійович': 'PERS', 'Оленою Кузнєцовою': 'PERS'}",Містить помилки,"Єдиною конкуренткою на торгах виступила ФОП Кузнєцова Антоніна Сергіївна, яка вказала спільні з «Інтєрою» контакти і прописана за однією адресою з Оленою Кузнєцовою.",
"Єдиним допущеним до участі конкурентом фірми «Армант» стало ТОВ «Гроссер», власником котрої є Олександр Марусенко, а директором – Анатолій Кобилинський, депутат Вишгородської райради від Партії регіонів.","Єдиною допущеною до участі конкуренткою фірми «Армант» стало ТОВ «Гроссер», власницею котрої є Валентина Марусенко, а директоркою – Анатолія Кобилинська, депутатка Вишгородської райради від Партії регіонів.","{'Олександр Марусенко': 'PERS', 'директором': 'JOB', 'Анатолій Кобилинський': 'PERS', 'депутат': 'JOB'}",Правильне,,
"Засновниками вінницького ТОВ «Барлінек-Інвест» є львів'янин Андрій Сметана (1%), Європейський банк реконструкції та розвитку (1%), ТОВ «Барлінек Кіпр Лімітед» (Кіпр, 36%) і акціонерне товариство «Барлінек» (Польща, 62%).","Засновницями вінницького ТОВ «Барлінек-Інвест» є львів'янка Анна Сметана (1%), Європейський банк реконструкції та розвитку (1%), ТОВ «Барлінек Кіпр Лімітед» (Кіпр, 36%) і акціонерне товариство «Барлінек» (Польща, 62%).","{'Засновниками': 'JOB', 'Андрій Сметана': 'PERS'}",Містить помилки,"Засновниками вінницького ТОВ «Барлінек-Інвест» є львів'янка Анна Сметана (1%), Європейський банк реконструкції та розвитку (1%), ТОВ «Барлінек Кіпр Лімітед» (Кіпр, 36%) і акціонерне товариство «Барлінек» (Польща, 62%).",
"Окружний адмінсуд м. Києва заборонив Державній реєстраційній службі вчиняти будь-які реєстраційні дії щодо ділянок у заказнику «Жуків острів», де будується маєток екс-нардепа Юрія Іванющенка.","Окружний адмінсуд м. Києва заборонив Державній реєстраційній службі вчиняти будь-які реєстраційні дії щодо ділянок у заказнику «Жуків острів», де будується маєток екс-нардепки Марії Іванющенко.","{'екс-нардепа': 'JOB', 'Юрія Іванющенка': 'PERS'}",Правильне,,Олеся Д.
Справу розглядає суддя Аблов Євгеній Валерійович.,Справу розглядає суддя Аблова Євгенія Валерійовича.,"{'суддя': 'JOB', 'Аблов Євгеній Валерійович': 'PERS'}",Містить помилки,Справу розглядає суддя Аблова Євгенія Валеріївна.,
"10 вересня Печерський райсуд дав слідчому Генпрокуратури доступ до матеріалів справи, що перебуває в Окружному адмінсуді.","10 вересня Печерський райсуд дала слідчій Генпрокуратури доступ до матеріалів справи, що перебуває в Окружному адмінсуді.",{'слідчому': 'JOB'},Містить помилки,"10 вересня Печерський райсуд дав слідчій Генпрокуратури доступ до матеріалів справи, що перебуває в Окружному адмінсуді.",
"В ухвалі йдеться, що суддя адмінсуду своєю ухвалою умисно заблокував рішення суду про повернення землі в комунальну власність.","В ухвалі йдеться, що суддя адмінсуду своєю ухвалою умисно заблокував рішення суду про повернення землі в комунальну власність.",{'суддя': 'JOB'},Містить помилки,"В ухвалі йдеться, що суддя адмінсуду своєю ухвалою умисно заблокувала рішення суду про повернення землі в комунальну власність.",
"Зауважимо, що прокурор просив накласти арешт на майно та рахунки «Альткому», «оскільки є підстави вважати, що фірма перебуває у скрутному фінансовому становищі, а також зважаючи на значний розмір суми вищевказаних збитків».","Зауважимо, що прокурорка просила накласти арешт на майно та рахунки «Альткому», «оскільки є підстави вважати, що фірма перебуває у скрутному фінансовому становищі, а також зважаючи на значний розмір суми вищевказаних збитків».",{'прокурор': 'JOB'},Правильне,,
Фірми з групи «Альтком» почали активно вигравати державні тендери після призначення Бориса Колеснікова віце-прем'єр-міністром з питань Євро-2012.,Фірми з групи «Альтком» почали активно вигравати державні тендери після призначення Людмили Колеснікової віце-прем'єркою з питань Євро-2012.,"{'Бориса Колеснікова': 'PERS', ""віце-прем'єр-міністром"": 'JOB', 'Колеснікова': 'PERS'}",Містить помилки,Фірми з групи «Альтком» почали активно вигравати державні тендери після призначення Людмили Колеснікової віце-прем'єр-міністеркою з питань Євро-2012.,
"Директором ТОВ «Агротехбуд», що мало виграти тендер ДП «Українські екологічні інвестиції» на заміну звичайних електролампочок на енергозбережні на суму 480 млн грн., був продавець кави.","Директоркою ТОВ «Агротехбуд», що мало виграти тендер ДП «Українські екологічні інвестиції» на заміну звичайних електролампочок на енергозбережні на суму 480 млн грн., була продавчиня кави.",{'Директором': 'JOB'},Правильне,,
"З матеріалів суду відомо, що майбутнього директора «Агротехбуду» відібрали на цю посаду у жовтні 2015 р.","З матеріалів суду відомо, що майбутню директорку «Агротехбуду» відібрали на цю посаду у жовтні 2015 р.",{'директора': 'JOB'},Правильне,,
Роль формального директора підприємства він мав виконувати за винагороду.,Роль формальної директорки підприємства вона мала виконувати за винагороду.,{'директора': 'JOB'},Правильне,,
"Ймовірно, йдеться про Олексія Алтуніна, прописаного в Донецьку, який став директором «Агротехбуду» 25 листопада минулого року.","Ймовірно, йдеться про Інну Алтуніну, прописану в Донецьку, яка стала директоркою «Агротехбуду» 25 листопада минулого року.","{'Олексія Алтуніна': 'PERS', 'директором': 'JOB'}",Правильне,,
"Відповідне розпорядження за підписом очільника КМДА Володимира Бондаренказ'явилося на сайті мерії 26 травня, пише Максим Опанасенко на сайті «Свідомо».","Відповідне розпорядження за підписом очільниці КМДА Ольги Бондаренко зʼявилося на сайті мерії 26 травня, пише Ольга Опанасенко на сайті «Свідомо».","{'очільника': 'JOB', 'Максим Опанасенко': 'PERS'}",Містить помилки,"Відповідне розпорядження за підписом очільниці КМДА Ольги Бондаренко зʼявилося на сайті мерії 26 травня, пише Максим Опанасенко на сайті «Свідомо».",Оля Н.
"У екс-очільника КМДА Олександра Попова склалися дружні стосунки з екс-головою Державного управління справами Андрієм Кравцем ще у Комсомольську, мером якого раніше був Попов.","У екс-очільниці КМДА Світлани Попової склалися дружні стосунки з екс-головою Державного управління справами Михайлом Кравцем ще у Комсомольську, мером якого раніше була Попова.","{'очільника': 'JOB', 'екс-очільника': 'JOB', 'Олександра Попова': 'PERS', 'екс-головою': 'JOB', 'Андрієм Кравцем': 'PERS', 'мером': 'JOB', 'Попов': 'PERS'}",Містить помилки,"У екс-очільниці КМДА Світлани Попової склалися дружні стосунки з екс-головою Державного управління справами Андрієм Кравцем ще у Комсомольську, очільницею якого раніше була Попова.",
"Про це свідчать документи, знайдені в Межигір'ї після втечі екс-президента Віктора Януковича.","Про це свідчать документи, знайдені в Межигір'ї після втечі екс-президентки Валентини Янукович.","{'екс-президента': 'JOB', 'Віктора Януковича': 'PERS'}",Правильне,,
"Зауважимо, що разом з Януковичем з країни зник і екс-голова ДУС Андрій Кравець.","Зауважимо, що разом з Януковичем з країни зникла і екс-голова ДУС Андрія Кравець.","{'Януковичем': 'PERS', 'екс-голова': 'JOB', 'Андрій Кравець': 'PERS'}",Містить помилки,"Зауважимо, що разом з Януковичем з країни зникла і екс-голова ДУС Ірина Кравець.",
Засновник компаній Богдан Тимків є депутатом Золочівської районної ради від об'єднання «Самопоміч».,Засновниця компаній Ірина Тимків є депутаткою Золочівської районної ради від об'єднання «Самопоміч».,"{'Засновник': 'JOB', 'Богдан Тимків': 'PERS', 'депутатом': 'JOB'}",Правильне,,
Засновниками харківського ТОВ «Торгсервіс» зі статутним капіталом 11 800 грн. є Борис Гринько і Сергій Євсєєв.,Засновницями харківського ТОВ «Торгсервіс» зі статутним капіталом 11 800 грн. є Єлизавета Гринько і Віктор Євсєєв.,"{'Засновниками': 'JOB', 'Борис Гринько': 'PERS', 'Сергій Євсєєв': 'PERS'}",Містить помилки,Засновницями харківського ТОВ «Торгсервіс» зі статутним капіталом 11 800 грн. є Єлизавета Гринько і Софія Євсєєва.,
"«Еко-Сервіс» заснував Ігор Ведута, який і сьогодні залишається міноритарним співзасновником і директором фірми.","«Еко-Сервіс» заснувала Орися Ведута, яка і сьогодні залишається міноритарною співзасновницею і директором фірми.","{'Ігор Ведута': 'PERS', 'директором': 'JOB'}",Містить помилки,"«Еко-Сервіс» заснувала Орися Ведута, яка і сьогодні залишається міноритарною співзасновницею і директоркою фірми.",
Свого часу «Енерджі Трейд Груп» тримала рахунки виключно у «Діамантбанку» народного депутата Давида Жванії.,Свого часу «Енерджі Трейд Груп» тримала рахунки виключно у «Діамантбанку» народної депутатки Марії Жванії.,"{'народного депутата': 'JOB', 'Давида Жванії': 'PERS'}",Правильне,,
Серед засновників цього фонду є також екс-заступник директора «СхідГЗК» Руслан Журило.,Серед засновниць цього фонду є також екс-заступниця директорки «СхідГЗК» Ірина Журило.,"{'засновників': 'JOB', 'екс-заступник директора': 'JOB', 'Руслан Журило': 'PERS', 'Журило': 'PERS'}",Правильне,,
"У березні минулого року госпсуд Дніпропетровської області постановив, що «Придніпровська залізниця» має викупити у фірми за 144,29 млн грн щебенеочисну машину, яку залізничники взяли в лізинг у 2012 році.","У березні минулого року госпсуд Дніпропетровської області постановив, що «Придніпровська залізниця» має викупити у фірми за 144,29 млн грн щебенеочисну машину, яку залізничниці взяли в лізинг у 2012 році.",{'залізничники': 'JOB'},Правильне,,
"Та в грудні «Прем'єр Лізинг» звернувся до суду з проханням роз'яснити, чи має право державний виконавець накладати арешт на усе рухоме та нерухоме майно, а також на грошові кошти «Придніпровської залізниці» у межах викупної вартості, що становить 144,29 млн грн.","Та в грудні «Прем'єр Лізинг» звернувся до суду з проханням роз'яснити, чи має право державна виконавиця накладати арешт на усе рухоме та нерухоме майно, а також на грошові кошти «Придніпровської залізниці» у межах викупної вартості, що становить 144,29 млн грн.",{'державний виконавець': 'JOB'},Правильне,,Тарас Я.
"Суд першої інстанції роз'яснив, що держвиконавець має право арештовувати майно і кошти залізниці.","Суд першої інстанції роз'яснив, що держвиконавиця має право арештовувати майно і кошти залізниці.",{'держвиконавець': 'JOB'},Правильне,,
"ТОВ «Прем'єр Лізинг» в 2011 р було зареєстроване на жителя села Білокуракине Луганської області Анатолія Пономаренка, а потім на киянина Андрія Чернікова, який значиться засновником понині.","ТОВ «Прем'єр Лізинг» в 2011 р було зареєстроване на жительку села Білокуракине Луганської області Ольгу Пономаренко, а потім на киянку Наталію Чернікову, яка значиться засновницею понині.","{'Анатолія Пономаренка': 'PERS', 'Андрія Чернікова': 'PERS', 'засновником': 'JOB'}",Правильне,,
"Остання також виступала засновником ТОВ «Албента», близького до бізнес-групи народного депутата від Партії регіонів Юрія Іванющенка.","Остання також виступала засновницею ТОВ «Албента», близького до бізнес-групи народної депутатки від Партії регіонів Юлії Іванющенко.","{'засновником': 'JOB', 'народного депутата': 'JOB', 'Юрія Іванющенка': 'PERS'}",Правильне,,
Також «Прем'єр Лізинг» пов'язували з екс-президентом Віктором Януковичем.,Також «Прем'єр Лізинг» пов'язували з екс-президенткою Людмилою Янукович.,"{'екс-президентом': 'JOB', 'Віктором Януковичем': 'PERS'}",Правильне,,
